date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-10,18:02:33",[  193] ,[ 1259] *,[  691] ,[ 1418] *,[ 1512] *,[  959] ,[  615] ,[  390] ,[ 1793] *,[   93] ,20250110_180233_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180233_foto_normalized.npy,0.05195,0.09995,0.11297,0.01719,0.05429,0.07073
"2025-01-10,18:02:41",[  193] ,[ 1258] *,[  692] ,[ 1420] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1795] *,[   93] ,20250110_180241_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180241_foto_normalized.npy,0.051,0.09578,0.11346,0.01676,0.04986,0.07137
"2025-01-10,18:02:48",[  193] ,[ 1259] *,[  692] ,[ 1420] *,[ 1514] *,[  960] ,[  616] ,[  390] ,[ 1795] *,[   93] ,20250110_180248_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180248_foto_normalized.npy,0.05175,0.10689,0.11392,0.01713,0.06207,0.07197
"2025-01-10,18:02:57",[  193] ,[ 1258] *,[  692] ,[ 1419] *,[ 1512] *,[  960] ,[  615] ,[  390] ,[ 1793] *,[   93] ,20250110_180257_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180257_foto_normalized.npy,0.04931,0.0882,0.11378,0.01578,0.04239,0.0717
"2025-01-10,18:03:04",[  193] ,[ 1259] *,[  691] ,[ 1419] *,[ 1512] *,[  960] ,[  615] ,[  390] ,[ 1793] *,[   93] ,20250110_180304_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180304_foto_normalized.npy,0.05132,0.10247,0.11181,0.01703,0.05726,0.06913
"2025-01-10,18:03:25",[  193] ,[ 1259] *,[  692] ,[ 1420] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1794] *,[   93] ,20250110_180325_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180325_foto_normalized.npy,0.0544,0.09956,0.11573,0.01901,0.054,0.0742
"2025-01-10,18:03:38",[  193] ,[ 1259] *,[  691] ,[ 1420] *,[ 1513] *,[  960] ,[  616] ,[  390] ,[ 1794] *,[   93] ,20250110_180338_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180338_foto_normalized.npy,0.05368,0.09618,0.1151,0.01849,0.0509,0.0742
"2025-01-10,18:03:50",[  193] ,[ 1258] *,[  692] ,[ 1419] *,[ 1513] *,[  960] ,[  615] ,[  390] ,[ 1794] *,[   93] ,20250110_180350_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180350_foto_normalized.npy,0.05118,0.09665,0.11646,0.01686,0.05092,0.07521
"2025-01-10,18:04:05",[  194] ,[ 1261] *,[  693] ,[ 1422] *,[ 1515] *,[  961] ,[  616] ,[  390] ,[ 1796] *,[   93] ,20250110_180405_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180405_foto_normalized.npy,0.05003,0.08999,0.11372,0.01653,0.04443,0.07184
"2025-01-10,18:04:18",[  187] ,[ 1202] *,[  671] ,[ 1375] *,[ 1468] *,[  916] ,[  592] ,[  377] ,[ 1853] *,[   96] ,20250110_180418_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180418_foto_normalized.npy,0.05067,0.10989,0.11293,0.01652,0.06595,0.0708
"2025-01-10,18:04:28",[  175] ,[ 1038] *,[  599] ,[ 1242] *,[ 1333] *,[  791] ,[  525] ,[  339] ,[ 2000] **,[  102] ,20250110_180428_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180428_foto_normalized.npy,0.05035,0.08819,0.11035,0.01684,0.04291,0.06836
"2025-01-10,18:04:45",[  176] ,[ 1039] *,[  600] ,[ 1242] *,[ 1333] *,[  791] ,[  525] ,[  339] ,[ 2001] **,[  102] ,20250110_180445_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180445_foto_normalized.npy,0.04866,0.09107,0.10987,0.01599,0.04562,0.06779
"2025-01-10,18:04:59",[  175] ,[ 1038] *,[  600] ,[ 1241] *,[ 1332] *,[  790] ,[  525] ,[  339] ,[ 1999] *,[  102] ,20250110_180459_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180459_foto_normalized.npy,0.05074,0.09403,0.10377,0.01693,0.04868,0.06046
"2025-01-10,18:05:14",[  175] ,[ 1037] *,[  599] ,[ 1240] *,[ 1332] *,[  790] ,[  525] ,[  339] ,[ 2000] **,[  102] ,20250110_180514_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180514_foto_normalized.npy,0.05014,0.10024,0.10247,0.01669,0.05477,0.05883
"2025-01-10,18:05:26",[  176] ,[ 1039] *,[  600] ,[ 1241] *,[ 1333] *,[  791] ,[  525] ,[  339] ,[ 2002] **,[  102] ,20250110_180526_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180526_foto_normalized.npy,0.0497,0.09364,0.10967,0.01637,0.04802,0.06737
"2025-01-10,18:05:39",[  178] ,[ 1095] *,[  627] ,[ 1288] *,[ 1381] *,[  835] ,[  549] ,[  352] ,[ 1953] *,[  100] ,20250110_180539_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180539_foto_normalized.npy,0.04853,0.09391,0.11288,0.01598,0.04847,0.0714
"2025-01-10,18:05:51",[  178] ,[ 1093] *,[  626] ,[ 1287] *,[ 1378] *,[  833] ,[  548] ,[  352] ,[ 1955] *,[  100] ,20250110_180551_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180551_foto_normalized.npy,0.05068,0.09325,0.11018,0.01698,0.04813,0.06846
"2025-01-10,18:06:04",[  187] ,[ 1200] *,[  671] ,[ 1372] *,[ 1465] *,[  915] ,[  592] ,[  377] ,[ 1853] *,[   95] ,20250110_180604_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180604_foto_normalized.npy,0.0512,0.0997,0.11157,0.01686,0.05442,0.06931
"2025-01-10,18:06:17",[  185] ,[ 1180] *,[  663] ,[ 1356] *,[ 1449] *,[  899] ,[  583] ,[  372] ,[ 1873] *,[   96] ,20250110_180617_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180617_foto_normalized.npy,0.04886,0.09937,0.11397,0.01544,0.05417,0.07225
"2025-01-10,18:06:31",[  176] ,[ 1039] *,[  600] ,[ 1241] *,[ 1333] *,[  789] ,[  525] ,[  339] ,[ 1999] *,[  102] ,20250110_180631_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180631_foto_normalized.npy,0.05074,0.08648,0.10533,0.01687,0.04092,0.06213
"2025-01-10,18:06:45",[  176] ,[ 1038] *,[  600] ,[ 1241] *,[ 1332] *,[  790] ,[  525] ,[  339] ,[ 2000] **,[  102] ,20250110_180645_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180645_foto_normalized.npy,0.04845,0.09021,0.10958,0.01595,0.04477,0.06756
"2025-01-10,18:06:58",[  176] ,[ 1039] *,[  601] ,[ 1242] *,[ 1334] *,[  791] ,[  525] ,[  339] ,[ 2002] **,[  102] ,20250110_180658_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180658_foto_normalized.npy,0.04886,0.08853,0.10911,0.01594,0.04332,0.06729
"2025-01-10,18:07:12",[  176] ,[ 1039] *,[  601] ,[ 1243] *,[ 1335] *,[  793] ,[  526] ,[  339] ,[ 2005] **,[  102] ,20250110_180712_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180712_foto_normalized.npy,0.04899,0.09414,0.10921,0.01618,0.0494,0.06762
"2025-01-10,18:07:21",[  176] ,[ 1038] *,[  601] ,[ 1242] *,[ 1333] *,[  791] ,[  526] ,[  339] ,[ 2003] **,[  102] ,20250110_180721_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180721_foto_normalized.npy,0.04897,0.10197,0.10961,0.01586,0.05807,0.06815
"2025-01-10,18:07:28",[  176] ,[ 1038] *,[  601] ,[ 1242] *,[ 1334] *,[  791] ,[  526] ,[  339] ,[ 2003] **,[  102] ,20250110_180728_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180728_foto_normalized.npy,0.04553,0.08563,0.11083,0.01417,0.04084,0.06927
"2025-01-10,18:07:36",[  176] ,[ 1039] *,[  601] ,[ 1241] *,[ 1334] *,[  791] ,[  526] ,[  339] ,[ 2003] **,[  102] ,20250110_180736_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180736_foto_normalized.npy,0.048,0.09278,0.11006,0.01547,0.04784,0.06888
"2025-01-10,18:07:51",[  176] ,[ 1039] *,[  601] ,[ 1241] *,[ 1331] *,[  790] ,[  525] ,[  339] ,[ 1999] *,[  102] ,20250110_180751_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180751_foto_normalized.npy,0.04873,0.09025,0.10933,0.0157,0.04453,0.06683
"2025-01-10,18:08:02",[  176] ,[ 1039] *,[  601] ,[ 1241] *,[ 1333] *,[  790] ,[  525] ,[  338] ,[ 1999] *,[  102] ,20250110_180802_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180802_foto_normalized.npy,0.04787,0.0932,0.10654,0.0154,0.04829,0.06417
"2025-01-10,18:08:16",[  176] ,[ 1039] *,[  601] ,[ 1241] *,[ 1333] *,[  791] ,[  526] ,[  339] ,[ 1999] *,[  102] ,20250110_180816_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180817_foto_normalized.npy,0.04834,0.10239,0.10928,0.01597,0.05756,0.06701
"2025-01-10,18:08:30",[  176] ,[ 1039] *,[  601] ,[ 1241] *,[ 1333] *,[  790] ,[  525] ,[  339] ,[ 2000] **,[  102] ,20250110_180830_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180830_foto_normalized.npy,0.05029,0.09651,0.10967,0.01683,0.05075,0.06697
"2025-01-10,18:08:43",[  176] ,[ 1038] *,[  601] ,[ 1240] *,[ 1331] *,[  790] ,[  525] ,[  339] ,[ 2000] **,[  102] ,20250110_180843_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180843_foto_normalized.npy,0.04879,0.09791,0.11026,0.01605,0.05263,0.06815
"2025-01-10,18:08:59",[  176] ,[ 1038] *,[  601] ,[ 1240] *,[ 1331] *,[  789] ,[  524] ,[  339] ,[ 1998] *,[  102] ,20250110_180859_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180859_foto_normalized.npy,0.04817,0.10099,0.10844,0.0157,0.05583,0.06582
"2025-01-10,18:09:10",[  186] ,[ 1183] *,[  665] ,[ 1358] *,[ 1450] *,[  901] ,[  584] ,[  373] ,[ 1868] *,[   96] ,20250110_180910_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_180910_foto_normalized.npy,0.05163,0.09239,0.11507,0.01749,0.04701,0.07401
"2025-01-10,18:10:56",[  212] ,[ 1386] *,[  738] ,[ 1516] *,[ 1609] *,[ 1054] *,[  665] ,[  418] ,[ 1649] *,[   86] ,20250110_181056_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_181056_foto_normalized.npy,0.0549,0.11167,0.11608,0.01899,0.06804,0.07439
"2025-01-10,18:11:04",[  212] ,[ 1385] *,[  738] ,[ 1516] *,[ 1607] *,[ 1053] *,[  665] ,[  418] ,[ 1648] *,[   86] ,20250110_181104_foto.jpg,gluten,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/gluten/numpy_files/20250110_181104_foto_normalized.npy,0.05004,0.08915,0.11122,0.01604,0.04354,0.06857
