date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:33:31",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1954] *,[   95] ,20250111_133331_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133331_foto_normalized.npy,0.11241,0.11214,0.11129,0.07489,0.07362,0.07257
"2025-01-11,13:33:38",[  218] ,[ 1432] *,[  763] ,[ 1542] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1951] *,[   95] ,20250111_133338_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133338_foto_normalized.npy,0.112,0.11135,0.1112,0.07434,0.07273,0.07248
"2025-01-11,13:33:46",[  219] ,[ 1433] *,[  763] ,[ 1542] *,[ 1635] *,[ 1067] *,[  679] ,[  422] ,[ 1954] *,[   95] ,20250111_133346_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133346_foto_normalized.npy,0.1112,0.11116,0.11079,0.07357,0.07264,0.07217
"2025-01-11,13:33:57",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_133357_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133357_foto_normalized.npy,0.11174,0.11115,0.11153,0.07497,0.07324,0.0737
"2025-01-11,13:34:05",[  219] ,[ 1434] *,[  763] ,[ 1544] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133405_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133405_foto_normalized.npy,0.11141,0.1109,0.11084,0.07467,0.073,0.07287
"2025-01-11,13:34:16",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1067] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133416_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133416_foto_normalized.npy,0.11155,0.11097,0.11113,0.07441,0.07289,0.07317
"2025-01-11,13:34:26",[  219] ,[ 1434] *,[  764] ,[ 1543] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133426_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133426_foto_normalized.npy,0.11177,0.11049,0.1108,0.07426,0.07191,0.07237
"2025-01-11,13:34:52",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_133452_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133452_foto_normalized.npy,0.11192,0.11158,0.11181,0.07433,0.07311,0.07343
"2025-01-11,13:35:11",[  219] ,[ 1436] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1947] *,[   95] ,20250111_133511_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133511_foto_normalized.npy,0.11207,0.11075,0.11073,0.07461,0.07221,0.07212
"2025-01-11,13:35:28",[  219] ,[ 1435] *,[  764] ,[ 1543] *,[ 1634] *,[ 1068] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133528_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133528_foto_normalized.npy,0.11134,0.11116,0.11094,0.0737,0.07284,0.07251
