date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,g,grain_type,numpy_file,r_mean,g_mean,b_meanz
"2025-01-11,16:03:11",[  221] ,[ 1449] *,[  769] ,[ 1565] *,[ 1660] *,[ 1089] *,[  691] ,[  428] ,[ 1914] *,[   94] ,20250111_160311_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160311_foto_normalized.npy,0.11244,0.11348,0.11454
"2025-01-11,16:03:19",[  221] ,[ 1448] *,[  768] ,[ 1565] *,[ 1660] *,[ 1088] *,[  691] ,[  428] ,[ 1913] *,[   94] ,20250111_160319_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160319_foto_normalized.npy,0.11274,0.11418,0.11471
"2025-01-11,16:03:29",[  220] ,[ 1447] *,[  768] ,[ 1563] *,[ 1659] *,[ 1088] *,[  691] ,[  428] ,[ 1914] *,[   94] ,20250111_160329_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160329_foto_normalized.npy,0.1124,0.11392,0.1146
"2025-01-11,16:03:37",[  221] ,[ 1448] *,[  769] ,[ 1565] *,[ 1660] *,[ 1089] *,[  691] ,[  429] ,[ 1914] *,[   94] ,20250111_160337_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160337_foto_normalized.npy,0.11247,0.11407,0.11457
"2025-01-11,16:03:47",[  221] ,[ 1448] *,[  768] ,[ 1565] *,[ 1659] *,[ 1088] *,[  690] ,[  428] ,[ 1908] *,[   94] ,20250111_160347_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160347_foto_normalized.npy,0.11146,0.11312,0.11424
"2025-01-11,16:03:54",[  221] ,[ 1447] *,[  768] ,[ 1564] *,[ 1659] *,[ 1088] *,[  691] ,[  428] ,[ 1911] *,[   94] ,20250111_160354_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160354_foto_normalized.npy,0.11177,0.11376,0.11437
"2025-01-11,16:04:02",[  220] ,[ 1446] *,[  767] ,[ 1563] *,[ 1658] *,[ 1087] *,[  690] ,[  428] ,[ 1906] *,[   94] ,20250111_160402_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160402_foto_normalized.npy,0.11231,0.11343,0.11406
"2025-01-11,16:04:11",[  220] ,[ 1447] *,[  768] ,[ 1563] *,[ 1658] *,[ 1088] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160411_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160411_foto_normalized.npy,0.11197,0.11349,0.11448
"2025-01-11,16:04:19",[  221] ,[ 1447] *,[  768] ,[ 1563] *,[ 1659] *,[ 1088] *,[  690] ,[  428] ,[ 1910] *,[   94] ,20250111_160419_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160419_foto_normalized.npy,0.11196,0.11372,0.11497
"2025-01-11,16:04:30",[  220] ,[ 1446] *,[  767] ,[ 1563] *,[ 1658] *,[ 1088] *,[  691] ,[  428] ,[ 1912] *,[   94] ,20250111_160430_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160430_foto_normalized.npy,0.11226,0.11358,0.11412
"2025-01-11,16:04:39",[  220] ,[ 1445] *,[  767] ,[ 1563] *,[ 1658] *,[ 1087] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160439_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160439_foto_normalized.npy,0.11186,0.11276,0.11387
